Provincia,Total Accesos,Total Población,Total Viviendas,Acceso/Vivienda,Acceso/Población
Buenos Aires,4721668,17905453.1664771,6044895.65996671,78.11,26.3699999999999
Capital Federal,1547679,3081798.08841099,1265684.49460255,122.28,50.22
Catamarca,70293,422942.238267148,107596.81616409,65.33,16.62
Chaco,144146,1229914.67576792,328650.250797994,43.8599999999999,11.72
Chubut,165778,641059.551430781,196465.987200758,84.3800000000002,25.86
Córdoba Arg,1038668,3841227.81065089,1176161.25014155,88.3099999999998,27.04
Corrientes,144846,1141418.43971631,300448.039825762,48.2100000000001,12.69
Entre Ríos,268959,1412599.78991597,422426.574524894,63.67,19.04
Formosa Arg,68538,615242.36983842,156622.486288848,43.7600000000001,11.14
Jujuy,118823,788997.343957503,201702.597182142,58.9100000000001,15.06
La Pampa,116092,364839.723444375,120190.49591055,96.5899999999998,31.82
La Rioja Arg,86864,404583.139264089,107691.544755765,80.66,21.47
Mendoza,289523,2033167.13483146,567358.416617676,51.03,14.24
Misiones,182157,1290978.02976612,351518.718641451,51.82,14.11
Neuquén,163161,682111.204013378,203012.318029115,80.3700000000001,23.92
Río Negro,160558,767852.702056432,236184.17181524,67.98,20.91
Salta,204541,1462051.46533238,354122.229916898,57.7599999999999,13.99
San Juan,103399,799064.914992272,203541.338582677,50.8,12.94
San Luis,122070,521889.696451475,149339.36873012,81.7399999999999,23.39
Santa Cruz Arg,49510,385291.828793774,114633.016902061,43.1899999999999,12.85
Santa Fe,887810,3594372.46963563,1130248.2495226,78.5499999999998,24.7
Santiago Del Estero,119032,999429.051217464,248086.70279283,47.9800000000001,11.91
Tierra Del Fuego,53896,182698.305084746,54161.3908149935,99.51,29.5
Tucumán,263117,1737892.998679,430351.651946353,61.1399999999999,15.14
