Provincia,Accesos Fibra Optica,Total Accesos
Buenos Aires,1436433,4721668
Capital Federal,129218,1547679
Catamarca,46224,70293
Chaco,44645,144146
Chubut,9574,165778
Córdoba Arg,338570,1038668
Corrientes,18619,144846
Entre Ríos,36971,268959
Formosa Arg,11041,68538
Jujuy,40172,118823
La Pampa,23551,116092
La Rioja Arg,19697,86864
Mendoza,142615,289523
Misiones,39046,182157
Neuquén,29396,163161
Río Negro,41017,160558
Salta,50254,204541
San Juan,12328,103399
San Luis,248,122070
Santa Cruz Arg,10815,49510
Santa Fe,215189,887810
Santiago Del Estero,13170,119032
Tierra Del Fuego,403,53896
Tucumán,162345,263117
